command_received_timestamp,vehicle_code,command,mavlink_sent_timestamp,execution_result,execution_message,command_response_timestamp,duration_ms
2026-04-11T03:26:19.145,USV-001,DISARM,2026-04-11T03:26:19.155,SUCCESS,DISARM successful,2026-04-11T03:26:19.181,36
2026-04-11T03:26:26.287,USV-001,ARM,2026-04-11T03:26:26.290,SUCCESS,ARM successful,2026-04-11T03:26:26.339,52
2026-04-11T03:26:30.836,USV-001,DISARM,2026-04-11T03:26:30.839,SUCCESS,DISARM successful,2026-04-11T03:26:30.859,23
2026-04-11T03:26:40.336,USV-001,AUTO,2026-04-11T03:26:40.339,SUCCESS,Mode changed to AUTO,2026-04-11T03:26:40.345,9
2026-04-11T03:27:17.902,USV-001,DISARM,2026-04-11T03:27:17.906,SUCCESS,DISARM successful,2026-04-11T03:27:17.933,31
2026-04-11T03:27:21.411,USV-001,ARM,2026-04-11T03:27:21.415,FAILED,ARM failed: code 4,2026-04-11T03:27:21.432,21
2026-04-11T05:20:09.151,USV-001,ARM,2026-04-11T05:20:09.161,SUCCESS,ARM successful,2026-04-11T05:20:09.206,55
2026-04-11T05:20:34.122,USV-001,AUTO,2026-04-11T05:20:34.131,SUCCESS,Mode changed to AUTO,2026-04-11T05:20:34.145,23
2026-04-11T05:55:52.394,USV-001,DISARM,2026-04-11T05:55:52.403,SUCCESS,DISARM successful,2026-04-11T05:55:52.427,33
2026-04-11T05:55:56.104,USV-001,ARM,2026-04-11T05:55:56.113,SUCCESS,ARM successful,2026-04-11T05:55:56.146,42
2026-04-11T05:56:00.325,USV-001,DISARM,2026-04-11T05:56:00.334,SUCCESS,DISARM successful,2026-04-11T05:56:00.369,44
2026-04-11T08:39:48.406,USV-001,ARM,2026-04-11T08:39:48.412,SUCCESS,ARM successful,2026-04-11T08:39:48.442,36
2026-04-11T08:39:52.163,USV-001,DISARM,2026-04-11T08:39:52.177,SUCCESS,DISARM successful,2026-04-11T08:39:52.205,42
2026-04-11T10:55:48.397,USV-001,ARM,2026-04-11T10:55:48.407,SUCCESS,ARM successful,2026-04-11T10:55:48.471,74
2026-04-11T10:55:51.798,USV-001,DISARM,2026-04-11T10:55:51.807,SUCCESS,DISARM successful,2026-04-11T10:55:51.831,33
2026-04-11T13:18:03.360,USV-001,DISARM,2026-04-11T13:18:03.385,SUCCESS,DISARM successful,2026-04-11T13:18:03.569,209
2026-04-11T14:38:31.880,USV-001,ARM,2026-04-11T14:38:31.890,SUCCESS,ARM successful,2026-04-11T14:38:31.943,63
2026-04-11T14:38:37.319,USV-001,DISARM,2026-04-11T14:38:37.329,SUCCESS,DISARM successful,2026-04-11T14:38:37.362,43
2026-04-11T14:38:40.637,USV-001,ARM,2026-04-11T14:38:40.647,SUCCESS,ARM successful,2026-04-11T14:38:40.682,45
2026-04-11T14:38:46.496,USV-001,AUTO,2026-04-11T14:38:46.508,SUCCESS,Mode changed to AUTO,2026-04-11T14:38:46.522,26
2026-04-11T14:38:51.975,USV-001,DISARM,2026-04-11T14:38:51.984,SUCCESS,DISARM successful,2026-04-11T14:38:52.003,28
2026-04-11T17:32:37.117,USV-001,ARM,2026-04-11T17:32:37.138,SUCCESS,ARM successful,2026-04-11T17:32:37.200,83
2026-04-11T17:49:35.804,USV-001,DISARM,,FAILED,MAVROS service unavailable,2026-04-11T17:49:40.851,5047
2026-04-11T18:04:33.815,USV-001,DISARM,2026-04-11T18:04:33.819,SUCCESS,DISARM successful,2026-04-11T18:04:33.868,53
2026-04-11T18:04:33.816,USV-001,DISARM,2026-04-11T18:04:33.822,SUCCESS,DISARM successful,2026-04-11T18:04:33.889,73
2026-04-11T18:04:33.818,USV-001,DISARM,2026-04-11T18:04:33.822,SUCCESS,DISARM successful,2026-04-11T18:04:33.938,120
2026-04-11T18:04:33.819,USV-001,DISARM,2026-04-11T18:04:33.825,SUCCESS,DISARM successful,2026-04-11T18:04:33.954,135
2026-04-11T18:04:33.819,USV-001,DISARM,2026-04-11T18:04:33.823,SUCCESS,DISARM successful,2026-04-11T18:04:33.972,153
2026-04-11T18:04:33.817,USV-001,DISARM,2026-04-11T18:04:33.831,SUCCESS,DISARM successful,2026-04-11T18:04:33.996,179
2026-04-11T18:04:37.224,USV-001,ARM,2026-04-11T18:04:37.235,FAILED,ARM failed: code 4,2026-04-11T18:04:37.279,55
2026-04-11T18:04:37.224,USV-001,ARM,2026-04-11T18:04:37.239,FAILED,ARM failed: code 4,2026-04-11T18:04:37.307,83
2026-04-11T18:04:37.223,USV-001,ARM,2026-04-11T18:04:37.247,FAILED,ARM failed: code 4,2026-04-11T18:04:37.341,118
2026-04-11T18:04:37.223,USV-001,ARM,2026-04-11T18:04:37.247,FAILED,ARM failed: code 4,2026-04-11T18:04:37.386,163
2026-04-11T18:04:37.223,USV-001,ARM,2026-04-11T18:04:37.250,FAILED,ARM failed: code 4,2026-04-11T18:04:37.426,203
2026-04-11T18:04:37.229,USV-001,ARM,2026-04-11T18:04:37.259,FAILED,ARM failed: code 4,2026-04-11T18:04:37.456,227
2026-04-11T18:04:38.754,USV-001,FORCE_ARM,2026-04-11T18:04:38.775,SUCCESS,FORCE_ARM successful,2026-04-11T18:04:38.823,69
2026-04-11T18:04:38.763,USV-001,FORCE_ARM,2026-04-11T18:04:38.779,SUCCESS,FORCE_ARM successful,2026-04-11T18:04:38.856,93
2026-04-11T18:04:38.755,USV-001,FORCE_ARM,2026-04-11T18:04:38.780,SUCCESS,FORCE_ARM successful,2026-04-11T18:04:38.877,122
2026-04-11T18:04:38.754,USV-001,FORCE_ARM,2026-04-11T18:04:38.786,SUCCESS,FORCE_ARM successful,2026-04-11T18:04:38.932,178
2026-04-11T18:04:38.764,USV-001,FORCE_ARM,2026-04-11T18:04:38.789,SUCCESS,FORCE_ARM successful,2026-04-11T18:04:38.971,207
2026-04-11T18:04:38.754,USV-001,FORCE_ARM,2026-04-11T18:04:38.791,SUCCESS,FORCE_ARM successful,2026-04-11T18:04:38.995,241
2026-04-11T19:12:21.174,USV-001,DISARM,2026-04-11T19:12:21.200,SUCCESS,DISARM successful,2026-04-11T19:12:21.281,107
2026-04-11T19:12:21.173,USV-001,DISARM,2026-04-11T19:12:21.207,SUCCESS,DISARM successful,2026-04-11T19:12:21.413,240
2026-04-11T19:12:21.176,USV-001,DISARM,2026-04-11T19:12:21.218,SUCCESS,DISARM successful,2026-04-11T19:12:21.444,268
2026-04-11T19:12:23.152,USV-001,ARM,2026-04-11T19:12:23.157,FAILED,ARM failed: code 4,2026-04-11T19:12:23.268,116
2026-04-11T19:12:23.152,USV-001,ARM,2026-04-11T19:12:23.157,FAILED,ARM failed: code 4,2026-04-11T19:12:23.298,146
2026-04-11T19:12:23.152,USV-001,ARM,2026-04-11T19:12:23.164,FAILED,ARM failed: code 4,2026-04-11T19:12:23.318,166
2026-04-11T19:12:25.748,USV-001,FORCE_ARM,2026-04-11T19:12:25.752,SUCCESS,FORCE_ARM successful,2026-04-11T19:12:25.849,101
2026-04-11T19:12:25.746,USV-001,FORCE_ARM,2026-04-11T19:12:25.752,SUCCESS,FORCE_ARM successful,2026-04-11T19:12:25.894,148
2026-04-11T19:12:25.746,USV-001,FORCE_ARM,2026-04-11T19:12:25.756,SUCCESS,FORCE_ARM successful,2026-04-11T19:12:25.918,172
2026-04-11T19:15:03.451,USV-001,AUTO,2026-04-11T19:15:03.454,SUCCESS,Mode changed to AUTO,2026-04-11T19:15:03.509,58
2026-04-11T19:15:03.451,USV-001,AUTO,2026-04-11T19:15:03.455,SUCCESS,Mode changed to AUTO,2026-04-11T19:15:03.523,72
2026-04-11T19:15:03.451,USV-001,AUTO,2026-04-11T19:15:03.458,SUCCESS,Mode changed to AUTO,2026-04-11T19:15:03.544,93
2026-04-11T19:15:07.025,USV-001,DISARM,2026-04-11T19:15:07.029,SUCCESS,DISARM successful,2026-04-11T19:15:07.076,51
2026-04-11T19:15:07.025,USV-001,DISARM,2026-04-11T19:15:07.035,SUCCESS,DISARM successful,2026-04-11T19:15:07.141,116
2026-04-11T19:15:07.029,USV-001,DISARM,2026-04-11T19:15:07.035,SUCCESS,DISARM successful,2026-04-11T19:15:07.156,127
2026-04-11T19:15:12.572,USV-001,HOLD,2026-04-11T19:15:12.583,SUCCESS,Mode changed to HOLD,2026-04-11T19:15:12.644,72
2026-04-11T19:15:12.574,USV-001,HOLD,2026-04-11T19:15:12.588,SUCCESS,Mode changed to HOLD,2026-04-11T19:15:12.655,81
2026-04-11T19:15:12.571,USV-001,HOLD,2026-04-11T19:15:12.589,SUCCESS,Mode changed to HOLD,2026-04-11T19:15:12.671,100
2026-04-11T19:15:17.724,USV-001,AUTO,2026-04-11T19:15:17.728,SUCCESS,Mode changed to AUTO,2026-04-11T19:15:17.810,86
2026-04-11T19:15:17.726,USV-001,AUTO,2026-04-11T19:15:17.729,SUCCESS,Mode changed to AUTO,2026-04-11T19:15:17.829,103
2026-04-11T19:15:17.725,USV-001,AUTO,2026-04-11T19:15:17.736,SUCCESS,Mode changed to AUTO,2026-04-11T19:15:18.559,834
2026-04-11T19:15:20.202,USV-001,MANUAL,2026-04-11T19:15:20.205,SUCCESS,Mode changed to MANUAL,2026-04-11T19:15:21.554,1352
2026-04-11T19:15:20.202,USV-001,MANUAL,2026-04-11T19:15:20.206,SUCCESS,Mode changed to MANUAL,2026-04-11T19:15:21.562,1360
2026-04-11T19:15:20.203,USV-001,MANUAL,2026-04-11T19:15:20.212,SUCCESS,Mode changed to MANUAL,2026-04-11T19:15:24.701,4498
2026-04-11T19:15:34.127,USV-001,ARM,2026-04-11T19:15:34.131,FAILED,ARM failed: code 4,2026-04-11T19:15:36.394,2267
2026-04-11T19:15:34.127,USV-001,ARM,2026-04-11T19:15:34.135,FAILED,ARM failed: code 4,2026-04-11T19:15:36.473,2346
2026-04-11T19:15:34.127,USV-001,ARM,2026-04-11T19:15:34.131,FAILED,ARM failed: code 4,2026-04-11T19:15:36.528,2401
2026-04-11T19:15:37.786,USV-001,FORCE_ARM,2026-04-11T19:15:37.790,FAILED,FORCE_ARM failed: code 0,2026-04-11T19:15:42.874,5088
2026-04-11T19:15:37.785,USV-001,FORCE_ARM,2026-04-11T19:15:37.791,SUCCESS,FORCE_ARM successful,2026-04-11T19:15:42.914,5129
2026-04-11T19:15:37.785,USV-001,FORCE_ARM,2026-04-11T19:15:37.799,SUCCESS,FORCE_ARM successful,2026-04-11T19:15:42.935,5150
2026-04-11T19:16:10.313,USV-001,DISARM,2026-04-11T19:16:10.316,SUCCESS,DISARM successful,2026-04-11T19:16:10.393,80
2026-04-11T19:16:10.313,USV-001,DISARM,2026-04-11T19:16:10.318,SUCCESS,DISARM successful,2026-04-11T19:16:10.418,105
2026-04-11T19:16:10.312,USV-001,DISARM,2026-04-11T19:16:10.322,SUCCESS,DISARM successful,2026-04-11T19:16:10.453,141
2026-04-11T19:39:59.950,USV-001,ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:05.019,5069
2026-04-11T19:39:59.950,USV-001,ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:05.023,5073
2026-04-11T19:39:59.950,USV-001,ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:05.021,5071
2026-04-11T19:39:59.950,USV-001,ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:05.019,5069
2026-04-11T19:40:13.290,USV-001,FORCE_ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:18.339,5049
2026-04-11T19:40:13.290,USV-001,FORCE_ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:18.341,5051
2026-04-11T19:40:13.290,USV-001,FORCE_ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:18.345,5055
2026-04-11T19:40:13.290,USV-001,FORCE_ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:18.359,5069
2026-04-11T19:40:19.808,USV-001,FORCE_ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:24.870,5062
2026-04-11T19:40:19.807,USV-001,FORCE_ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:24.871,5064
2026-04-11T19:40:19.807,USV-001,FORCE_ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:24.875,5068
2026-04-11T19:40:19.807,USV-001,FORCE_ARM,,FAILED,MAVROS service unavailable,2026-04-11T19:40:24.879,5072
2026-04-11T19:40:41.949,USV-001,FORCE_ARM,2026-04-11T19:40:44.728,SUCCESS,FORCE_ARM successful,2026-04-11T19:40:45.074,3125
2026-04-11T19:40:41.954,USV-001,FORCE_ARM,2026-04-11T19:40:44.721,SUCCESS,FORCE_ARM successful,2026-04-11T19:40:45.075,3121
2026-04-11T19:40:41.947,USV-001,FORCE_ARM,2026-04-11T19:40:44.730,SUCCESS,FORCE_ARM successful,2026-04-11T19:40:45.084,3137
2026-04-11T19:40:41.947,USV-001,FORCE_ARM,2026-04-11T19:40:44.994,SUCCESS,FORCE_ARM successful,2026-04-11T19:40:45.118,3171
2026-04-11T19:40:48.433,USV-001,ARM,2026-04-11T19:40:48.435,SUCCESS,ARM successful,2026-04-11T19:40:48.455,22
2026-04-11T19:40:48.440,USV-001,ARM,2026-04-11T19:40:48.449,SUCCESS,ARM successful,2026-04-11T19:40:48.465,25
2026-04-11T19:40:48.433,USV-001,ARM,2026-04-11T19:40:48.436,SUCCESS,ARM successful,2026-04-11T19:40:48.453,20
2026-04-11T19:40:48.438,USV-001,ARM,2026-04-11T19:40:48.441,SUCCESS,ARM successful,2026-04-11T19:40:48.472,34
2026-04-11T19:40:48.433,USV-001,ARM,2026-04-11T19:40:48.468,SUCCESS,ARM successful,2026-04-11T19:40:48.477,44
2026-04-11T19:40:58.050,USV-001,ARM,2026-04-11T19:40:58.074,FAILED,ARM failed: code 4,2026-04-11T19:40:58.115,65
2026-04-11T19:40:58.050,USV-001,ARM,2026-04-11T19:40:58.088,FAILED,ARM failed: code 4,2026-04-11T19:40:58.141,91
2026-04-11T19:40:58.050,USV-001,ARM,2026-04-11T19:40:58.088,FAILED,ARM failed: code 4,2026-04-11T19:40:58.161,111
2026-04-11T19:40:58.050,USV-001,ARM,2026-04-11T19:40:58.097,FAILED,ARM failed: code 4,2026-04-11T19:40:58.175,125
2026-04-11T19:40:58.062,USV-001,ARM,2026-04-11T19:40:58.098,FAILED,ARM failed: code 4,2026-04-11T19:40:58.197,135
2026-04-11T19:41:00.553,USV-001,FORCE_ARM,2026-04-11T19:41:00.581,SUCCESS,FORCE_ARM successful,2026-04-11T19:41:00.618,65
2026-04-11T19:41:00.555,USV-001,FORCE_ARM,2026-04-11T19:41:00.585,SUCCESS,FORCE_ARM successful,2026-04-11T19:41:00.636,81
2026-04-11T19:41:00.553,USV-001,FORCE_ARM,2026-04-11T19:41:00.592,SUCCESS,FORCE_ARM successful,2026-04-11T19:41:00.655,102
2026-04-11T19:41:00.559,USV-001,FORCE_ARM,2026-04-11T19:41:00.598,SUCCESS,FORCE_ARM successful,2026-04-11T19:41:00.677,118
2026-04-11T19:41:00.553,USV-001,FORCE_ARM,2026-04-11T19:41:00.601,SUCCESS,FORCE_ARM successful,2026-04-11T19:41:00.697,144
